4	7	59	91	
0	0	18	0	
0	0	99	95	
37	116	31	90	
0	0	54	0	
0	27	28	25	
23	0	0	46	
0	0	0	0	
0	0	0	0	
0	0	0	47	
0	0	24	0	
0	2	0	42	
10	0	127	111	
0	36	94	45	
0	4	19	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
127	82	91	127	
0	3	53	0	
0	63	0	0	
108	0	7	66	
0	0	100	0	
0	127	0	28	
127	0	0	127	
0	0	28	0	
57	21	0	0	
112	0	0	127	
0	0	0	123	
33	0	14	0	
0	1	0	0	
0	0	0	85	
0	0	44	0	
0	30	0	127	
0	0	0	0	
0	0	0	0	
127	95	0	24	
0	73	0	0	
37	0	0	127	
0	0	0	0	
0	0	0	0	
66	36	24	32	
108	0	0	39	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
12	0	0	127	
55	2	127	62	
80	127	55	28	
127	0	73	33	
14	127	25	0	
3	15	0	0	
0	0	0	53	
0	0	0	0	
0	0	0	0	
64	0	3	70	
0	57	53	0	
52	80	0	0	
101	35	0	41	
0	0	0	0	
6	0	0	0	
23	0	4	44	
47	32	0	0	
0	75	0	60	
0	0	4	0	
0	127	0	0	
127	0	0	0	
0	0	0	0	
0	0	79	0	
0	0	0	0	
0	0	0	0	
0	17	63	0	
0	127	34	0	
47	58	0	6	
0	0	22	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	36	0	48	
